review,rate
hide new secretion parental unit,0
contain no wit only labor gag,0
love character communicate something rather beautiful about human nature,1
remain utterly satisfied remain same throughout,0
on bad revenge of nerd cliché filmmaker could dredge up,0
far too tragic merit such superficial treatment,0
demonstrate director of such hollywood blockbuster patriot game can still turn out small personal film with emotional wallop,1
of saucy,1
depressed fifteen year old suicidal poetry,0
more deeply think through most right think film,1
absurd length,0
moviegoer who complain do not make movie like use anymore,0
part where nothing happen,0
see how bad movie,0
lend some dignity dumb story,0
great musician,1
cold movie,0
with usual intelligence subtlety,1
redundant concept,0
swimming above about young woman face cast actress whose face project woman doubt yearning succeed,1
equal original some way even better,1
if anything see karen black who camp up storm fringe feminist conspiracy theorist name dirty dick,1
smile on face,1
come brave uninhibited performance,1
excruciatingly unfunny pitifully unromantic,0
enrich imaginatively mixed cast of antic spirit,1
which half of dragonfly bad part where nothing happen part where something happen,0
world cinema,1
very good view alternative,1
plot nothing but boilerplate cliché start finish,0
action stilted,0
on cylinder,1
will find little of interest film which often preachy poorly act,0
far bad movie of year,0
sit through,0
more another good man clone weave theme throughout funny film,1
about issue most adult have face marriage think what like about real issue tuck silly crude storyline,1
hero,1
oblivious existence of film,0
sharply,1
entire point of shaggy dog story of course nowhere classic nowheresville every sense,0
sometimes dry,0
come already have recycle more time would care count,0
cover territory with wit originality suggest with fourth feature,1
million version of game,0
gorgeous deceptively minimalist,1
cross sword with good of,1
fringe feminist conspiracy theorist,0
prove once again have not lose touch bring off superb performance admittedly middling film,1
disappointment,0
horror,0
muddle splash with bloody beauty vivid scorsese have ever give,1
many pointless,0
beautifully,1
contrived well wear situation,0
doa,0
poor ben bratt could not find stardom if mapquest email point point driving direction,0
subtle touching son room,1
start with legend,1
far less sophisticated,0
rich vein of funny stuff movie,1
no apparent joy,0
shoot on ugly digital video,0
sour little movie core exploration of emptiness underlay relentless gaiety of film ending have what,0
though ford neeson capably hold interest but just not thrilling movie,0
pretty damned funny,1
never feel anything character,0
lousy one,0
corporate circus record industry current climate of merger downsize,0
storyline weave together skilfully magnificent swoop aerial shot breathtaking overall experience awesome,1
of most highly praise disappointment,0
sound like cruel deception carry out man of marginal intelligence with reactionary idea about woman total lack of empathy,0
seem fresh,1
dustbin of history,0
director eastwood off game,0
pay earnest homage turntablist,1
weak,0
skip dreck,0
contain very few laugh even less surprise,0
film affirm love power help people endure almost unimaginable horror,1
absolute joy,1
generate,1
like life not much fun without high low,1
base on true historically significant story,1
well round tribute,1
though many of actor throw off spark two when first appear can not generate enough heat cold vacuum of comedy start reaction,0
so much like young robert deniro,1
khouri manage with terrific flair keep extreme of screwball farce blood curdle family intensity on one continuum,1
fashion engrossing entertainment out,1
spiffy animated feature,1
so sloppily write cast can not believe anyone more central creation of bugsy caterer,0
alternate facetious comic parody pulp melodrama smart aleck movie toss around some intriguing question about difference human android life,1
string together moment,0
generous subversive artwork,1
